No,Y house price of unit area,PC1,PC2,PC3,PC4,PC5,PC6
1,37.9,-2.1350974515564918,0.6764133857161571,-1.4465930831006937,0.6767497346720639,0.8845824016294488,0.18220101009167303
2,42.2,-1.7531059323203746,-0.1761470254069416,-0.7278749110856291,0.7353875504505476,0.7994826166261945,0.21191276793189726
3,47.3,-1.3622052449177424,0.8505479118262885,1.4631260590207695,0.46733449027551605,-0.6514622125465547,0.3418645743702353
4,54.8,-1.3684702596924005,0.6623351801301023,1.239497459048445,0.5112546572521253,-0.6484583614194123,0.3531948230711737
5,43.1,-1.1512190600056393,-1.479579005604537,-0.08639457833961854,0.5783540810167163,-0.25313613026020776,0.1677874155923007
6,32.1,1.5421749807910727,-1.6325770678612093,-0.740743613233107,1.0038341944234466,0.3751116920091819,-0.16306890866323936
7,40.3,-1.1816611642424482,0.17651908605532435,-2.2561246245936672,0.5684494421922679,0.26712764761975916,0.18944412596006927
8,46.7,-1.349196273156589,0.8640387100560665,0.5951838223170528,0.12717259533421044,-0.11922797381843751,0.07214175793014918
9,18.8,4.786763137994815,2.0484965959818595,0.005186380842218827,0.9222370057934208,0.7762963809406509,0.4501416770745456
10,22.1,1.1854281124753772,0.7632644647441009,0.663686972346243,0.5074906869222718,0.05814878292671452,-0.3695714670312837
11,41.4,-0.007458206498942564,0.8396242561584999,-1.1292189759868902,-0.36712000763520414,-1.2050659120872713,-0.5179527582103562
12,58.1,-1.715939925965078,-0.2055897933194075,1.1503562253701234,0.23201816168252917,1.0262202091238277,0.07487753176911524
13,39.3,-0.41803901309651503,-0.9165231344697975,-0.3522790872894693,-0.19839461990895763,0.3422032679097332,-0.19448253341852192
14,23.8,1.654004425037956,-0.7322864057082381,-1.5188739432967373,0.8622621891718482,0.7184522261898576,-0.04646918072796221
15,34.3,-0.7599325747030259,0.7992697542556996,1.2302760025154582,1.1504470234759006,-0.910174718455426,0.37401236720720255
16,50.5,-0.7855829887045513,2.081490686875046,0.19721908043491496,-0.5224513399641814,-1.4549519266269324,0.17273909970093493
17,70.1,-1.3196839670515963,-0.8711253419182039,1.3154850996680663,0.31333446568777756,0.08223712154951046,0.15884709310088377
18,37.4,-0.03685353022308108,-0.9616640650698115,-1.0464801093890914,0.308251836741503,-1.1477602170011636,-0.5518098016745163
19,42.3,-1.2308904923010018,0.5361298701147751,0.7673863798569537,-0.46970972834800184,0.9548147410662045,0.11829191069570519
20,47.7,-1.1723900017486744,-2.1684359355907326,-0.3631665530003503,0.21290400823348868,0.792186629014108,-0.15779690039771477
21,29.3,1.6762210033502245,-0.08811513089781992,1.4184325628773635,0.715496578639619,0.3807708288572995,-0.23609840748128094
22,51.6,-1.423667273139668,0.17819601511035227,1.1530803244374637,-0.04058414285206623,0.377227490017605,0.16811055177872672
