No,Y house price of unit area,PC1
1,37.9,-2.13509745155649
2,42.2,-1.7531059323203741
3,47.3,-1.3622052449177429
4,54.8,-1.368470259692401
5,43.1,-1.15121906000564
6,32.1,1.5421749807910716
7,40.3,-1.1816611642424466
8,46.7,-1.3491962731565885
9,18.8,4.786763137994814
10,22.1,1.185428112475377
11,41.4,-0.0074582064989412835
12,58.1,-1.7159399259650783
13,39.3,-0.41803901309651503
14,23.8,1.6540044250379555
15,34.3,-0.7599325747030268
16,50.5,-0.7855829887045503
17,70.1,-1.3196839670515974
18,37.4,-0.03685353022308092
19,42.3,-1.2308904923010011
20,47.7,-1.1723900017486748
21,29.3,1.6762210033502232
22,51.6,-1.4236672731396682
23,24.6,0.7087214238699019
24,47.9,-1.4485679298219258
25,38.8,-0.6236769815301838
26,27.0,0.8052795531978775
27,56.2,-1.268185261783795
28,33.6,-0.21406246941406834
29,47.0,-0.5378633407584434
30,57.1,-1.1195558357821076
31,22.1,4.218807743885672
32,25.0,-1.1556892510543753
33,34.2,-0.022286600780980444
34,49.3,-1.288687676317654
35,55.1,-1.732903012067594
36,27.3,0.8800820391341665
37,22.9,1.5088793134606322
38,25.3,0.7285925435157206
39,47.7,-1.1268218357986475
40,46.2,-1.3070635544233953
41,15.9,3.96718243736033
42,18.2,3.958030470364806
43,34.7,-0.30822534035965016
44,34.1,-1.5830767372909917
45,53.9,-0.8671031654625948
46,38.3,-1.3194874242844774
47,42.0,-1.449945903699679
48,61.5,-0.3687434924299414
49,13.4,4.30661238964433
50,13.2,3.9728905163090675
51,44.2,-0.5735358937816227
52,20.7,0.6768867069341693
53,27.0,0.699292052240021
54,38.9,-0.4056285466365001
55,51.7,-1.3132887223529646
56,13.7,1.4569806002024879
57,41.9,-1.2884295100894907
58,53.5,-0.6369721681257582
59,22.6,4.035181997341797
60,42.4,-0.10916771731803561
61,21.3,1.5495101603317765
62,63.2,-1.2797630991531044
63,27.7,1.5580527360595435
64,55.0,-0.8670633110994906
65,25.3,0.30756796963753485
66,44.3,-1.6308444025024433
67,50.7,-0.8362089238446311
68,56.8,-0.7150541001125336
69,36.2,-1.1044001868988345
70,42.0,-1.418271565538906
71,59.0,-1.6972644372123902
72,40.8,-0.4061741786615268
73,36.3,-1.323454696159905
74,20.0,3.9796327657014587
75,54.4,-1.9208849024834256
76,29.5,0.753533047043073
77,36.8,-0.4550165852725855
78,25.6,1.553427048231278
79,29.8,-0.20465550139914618
80,26.5,0.7314396460658289
81,40.3,-0.8769949272797553
82,36.8,-0.6709813577339592
83,48.1,-1.120832649351165
84,17.7,2.025507150590549
85,43.7,-1.0905264711211224
86,50.8,-1.468902376407524
87,27.0,0.7620474029543389
88,18.3,3.9642556307763663
89,48.0,0.3608782108689848
90,25.3,3.7586863675535986
91,45.4,-0.01517749960944781
92,43.2,0.38464512532431977
93,21.8,1.6727197681537482
94,16.1,1.45181017836432
95,41.0,-0.7138312802320963
96,51.8,-0.7587099467556785
97,59.5,-1.7097147580355088
98,34.6,-0.3418996625976307
99,51.0,-1.2883482113076026
100,62.2,-1.7097147580355088
101,38.2,-0.7509735873125678
102,32.9,-0.0028339584805694086
103,54.4,-0.8299837634330718
104,45.7,-0.42117094217176815
105,30.5,-0.774737002000299
